"","tp","AOO","occupancy_area","occupancy_Ncells","relative_occupancy_area","relative_occupancy_Ncells","occupancy_area_scaled","occupancy_Ncells_scaled","relative_occupancy_area_scaled","relative_occupancy_Ncells_scaled","AOO_scaled"
"253",2,0.15,0.15,-1.579,0.134,0.09,0.076,0.099,0.07,0.074,0.076
"254",2,0.705,0.705,-1.05,0.705,0.592,0.373,0.401,0.371,0.35,0.373
"255",2,1.535,1.535,-0.21,1.535,1.449,0.819,0.88,0.809,0.822,0.819
"256",2,0.629,0.629,-1.113,0.627,0.552,0.333,0.365,0.33,0.328,0.333
"257",2,0.479,0.479,-1.289,0.472,0.382,0.252,0.265,0.248,0.235,0.252
"258",2,1.518,1.518,-0.267,1.531,1.403,0.809,0.848,0.807,0.796,0.809
"259",2,0.049,0.049,-1.72,0.025,0.003,0.022,0.019,0.013,0.026,0.022
"260",2,0.538,0.538,-1.188,0.531,0.483,0.284,0.322,0.279,0.291,0.284
"261",2,0.385,0.385,-1.35,0.378,0.321,0.202,0.23,0.199,0.201,0.202
"262",2,0.684,0.684,-1.054,0.684,0.608,0.362,0.399,0.36,0.359,0.362
"263",2,1.132,1.132,-0.588,1.13,1.075,0.602,0.664,0.596,0.616,0.602
"264",2,0.271,0.271,-1.45,0.265,0.221,0.141,0.172,0.139,0.146,0.141
"265",2,1.271,1.271,-0.41,1.27,1.254,0.677,0.766,0.669,0.715,0.677
"266",2,0.035,0.035,-1.671,0.017,-0.03,0.015,0.047,0.008,0.008,0.015
"267",2,0.028,0.028,-1.69,0.021,-0.019,0.011,0.035,0.01,0.014,0.011
"268",2,1.53,1.53,-0.258,1.531,1.386,0.816,0.852,0.807,0.787,0.816
"269",2,1.222,1.222,-0.529,1.211,1.136,0.65,0.698,0.638,0.65,0.65
"270",2,1.293,1.293,-0.399,1.294,1.263,0.689,0.772,0.682,0.719,0.689
"271",2,0.259,0.259,-1.471,0.244,0.198,0.135,0.161,0.128,0.133,0.135
"272",2,1.335,1.335,-0.442,1.332,1.222,0.711,0.748,0.702,0.697,0.711
"273",2,1.324,1.324,-0.46,1.323,1.199,0.705,0.737,0.697,0.684,0.705
"274",2,0.178,0.178,-1.613,0.166,0.139,0.091,0.079,0.087,0.101,0.091
"275",2,0.565,0.565,-1.187,0.558,0.484,0.298,0.322,0.294,0.291,0.298
"276",2,0.27,0.27,-1.466,0.263,0.205,0.141,0.164,0.138,0.138,0.141
"277",2,0.176,0.176,-1.558,0.165,0.112,0.09,0.111,0.087,0.086,0.09
"278",2,1.41,1.41,-0.385,1.408,1.273,0.751,0.78,0.742,0.725,0.751
"279",2,0.777,0.777,-0.944,0.778,0.742,0.412,0.461,0.41,0.433,0.412
"280",2,0.92,0.92,-0.831,0.921,0.83,0.489,0.526,0.485,0.481,0.489
"281",2,1.797,1.797,0,1.794,1.64,0.959,1,0.946,0.927,0.959
"282",2,0.194,0.194,-1.533,0.186,0.138,0.1,0.125,0.098,0.101,0.1
"283",2,1.565,1.565,-0.217,1.539,1.459,0.834,0.876,0.811,0.827,0.834
"284",2,0.972,0.972,-0.805,0.973,0.857,0.516,0.541,0.513,0.496,0.516
"285",2,1.668,1.668,-0.138,1.693,1.549,0.89,0.921,0.893,0.877,0.89
"286",2,0.02,0.02,-1.687,0.003,-0.044,0.007,0.037,0.001,0,0.007
"287",2,0.837,0.837,-0.959,0.83,0.712,0.444,0.453,0.437,0.416,0.444
"288",2,0.036,0.036,-1.73,0.029,-0.006,0.015,0.013,0.015,0.021,0.015
