"","sp_atlas_adapted","verbatim_name","sp_names_atlas_adapted_keep","sp_BirdTree","sp_BirdLife","sp_eBird","sp_group_eBird"
"380","Emberiza sulphurata","Emberiza sulphurata","Emberiza sulphurata","Emberiza sulphurata","Emberiza sulphurata","Emberiza sulphurata","Emberiza sulphurata"
"381","Emberiza variabilis","Emberiza variabilis","Emberiza variabilis","Emberiza variabilis","Emberiza variabilis","Emberiza variabilis","Emberiza variabilis"
"382","Emberiza yessoensis","Emberiza yessoensis","Emberiza yessoensis","Emberiza yessoensis","Emberiza yessoensis","Emberiza yessoensis","Emberiza yessoensis"
"383","Empidonax alnorum","Empidonax alnorum","Empidonax alnorum","Empidonax alnorum","Empidonax alnorum","Empidonax alnorum","Empidonax alnorum"
"384","Empidonax flaviventris","Empidonax flaviventris","Empidonax flaviventris","Empidonax flaviventris","Empidonax flaviventris","Empidonax flaviventris","Empidonax flaviventris"
"385","Empidonax minimus","Empidonax minimus","Empidonax minimus","Empidonax minimus","Empidonax minimus","Empidonax minimus","Empidonax minimus"
"386","Empidonax traillii","Empidonax traillii","Empidonax traillii","Empidonax traillii","Empidonax traillii","Empidonax traillii","Empidonax traillii"
"387","Empidonax virescens","Empidonax virescens","Empidonax virescens","Empidonax virescens","Empidonax virescens","Empidonax virescens","Empidonax virescens"
"388","Eophona personata","Eophona personata","Eophona personata","Eophona personata","Eophona personata","Eophona personata","Eophona personata"
"389","Eremophila alpestris","Eremophila alpestris","Eremophila alpestris","Eremophila alpestris","Eremophila alpestris","Eremophila alpestris","Eremophila alpestris"
"390","Erithacus rubecula","Erithacus rubecula","Erithacus rubecula","Erithacus rubecula","Erithacus rubecula","Erithacus rubecula","Erithacus rubecula"
"391","Estrilda astrild","Estrilda astrild","Estrilda astrild","Estrilda astrild","Estrilda astrild","Estrilda astrild","Estrilda astrild"
"392","Estrilda melpoda","Estrilda melpoda","Estrilda melpoda","Estrilda melpoda","Estrilda melpoda","Estrilda melpoda","Estrilda melpoda"
"393","Eudromias morinellus","Eudromias morinellus","Eudromias morinellus","Eudromias morinellus","Eudromias morinellus","Charadrius morinellus","Charadrius morinellus"
