"","verbatim_name","tp","cell_grouping","Total_area","Total_Ncells","occupancy_Ncells","AOO","relative_occupancy_Ncells","dataset"
"236","Turdus pallidus",1,1,448951.020447356,1095,13,5494.70779321851,0.01,"Birds_atlas_Japan"
"237","Charadrius placidus",2,1,450221.445308138,1098,42,17485.7380312505,0.04,"Birds_atlas_Japan"
"238","Motacilla alba",2,1,450221.445308138,1098,386,155782.143802829,0.35,"Birds_atlas_Japan"
"239","Carduelis spinus",2,1,450221.445308138,1098,16,6012.83738080144,0.01,"Birds_atlas_Japan"
"240","Aix galericulata",2,1,450221.445308138,1098,72,28677.8877607567,0.07,"Birds_atlas_Japan"
"241","Dendrocopos major",1,1,448951.020447356,1095,414,163558.163071643,0.38,"Birds_atlas_Japan"
"242","Sitta europaea",2,1,450221.445308138,1098,250,99155.4047106352,0.23,"Birds_atlas_Japan"
"243","Strix uralensis",1,1,448951.020447356,1095,34,14235.6585921416,0.03,"Birds_atlas_Japan"
"244","Motacilla alba",1,1,448951.020447356,1095,330,129722.744546105,0.3,"Birds_atlas_Japan"
"245","Motacilla grandis",1,1,448951.020447356,1095,350,145835.485128263,0.32,"Birds_atlas_Japan"
"246","Butorides striata",2,1,450221.445308138,1098,18,7512.51023287445,0.02,"Birds_atlas_Japan"
"247","Muscicapa dauurica",1,1,448951.020447356,1095,111,43396.6214922019,0.1,"Birds_atlas_Japan"
"248","Pica pica",1,1,448951.020447356,1095,10,4312.83958875276,0.01,"Birds_atlas_Japan"
"249","Eurystomus orientalis",1,1,448951.020447356,1095,10,4206.65523930791,0.01,"Birds_atlas_Japan"
"250","Garrulax canorus",2,1,450221.445308138,1098,140,58733.5523779344,0.13,"Birds_atlas_Japan"
"251","Syrmaticus soemmerringii",1,1,448951.020447356,1095,94,39150.4260252307,0.09,"Birds_atlas_Japan"
